candidate_size,total_cov,avg_recall_per_group,pos_density
2752,0.011627906976744186,0.012354651162790697,0.012354651162790697
8256,0.026333789329685362,0.02779796511627907,0.009326550387596898
16512,0.04890560875512996,0.051256839945280436,0.008660368217054263
33024,0.07694938440492476,0.08005407831737346,0.0068132267441860465
60544,0.09507523939808482,0.09876774110807114,0.004591701902748414
104576,0.11320109439124487,0.11766308994528044,0.0031651621787025705
167872,0.1296169630642955,0.1343782062243502,0.0022576725123903928
264192,0.1545827633378933,0.160359310875513,0.0017108769379844961
396288,0.1771545827633379,0.1837362488600091,0.0013071301679586564
580672,0.19699042407660738,0.20375199498404012,0.0009919541496748595
825600,0.21751025991792067,0.22519094847241222,0.0007703488372093023
1147584,0.2421340629274966,0.2504453089375285,0.0006169483018236574
1563136,0.265389876880985,0.274609553123575,0.0004964379299050115
2091520,0.295827633378933,0.30549618103055176,0.0004135748164014688
2752000,0.32489740082079344,0.3331427411080711,0.000345203488372093
