alpha,beta,temp,total_cov,avg_recall_per_group
0.0,0.0,1.0,0.06224350205198358,0.0650436046511628
0.1,0.0,1.0,0.06121751025991792,0.06395348837209303
0.2,0.0,1.0,0.0533515731874145,0.0559593023255814
0.30000000000000004,0.0,1.0,0.01744186046511628,0.01835029069767442
0.4,0.0,1.0,0.013337893296853625,0.014171511627906976
0.5,0.0,1.0,0.01265389876880985,0.013444767441860465
0.6000000000000001,0.0,1.0,0.008549931600547196,0.009084302325581396
0.7000000000000001,0.0,1.0,0.006839945280437756,0.007267441860465116
0.8,0.0,1.0,0.005813953488372093,0.0061773255813953485
0.9,0.0,1.0,0.004103967168262654,0.00436046511627907
1.0,0.0,1.0,0.0010259917920656635,0.0010901162790697674
0.0,0.1,1.0,0.07729138166894665,0.08012354651162791
0.1,0.1,1.0,0.07831737346101231,0.08139534883720931
0.2,0.1,1.0,0.06566347469220246,0.06849563953488372
0.30000000000000004,0.1,1.0,0.04035567715458276,0.041969476744186045
0.4,0.1,1.0,0.024281805745554035,0.025617732558139535
0.5,0.1,1.0,0.016415868673050615,0.01744186046511628
0.6000000000000001,0.1,1.0,0.0140218878248974,0.014898255813953489
0.7000000000000001,0.1,1.0,0.010259917920656635,0.010901162790697675
0.8,0.1,1.0,0.00786593707250342,0.008357558139534883
0.9,0.1,1.0,0.005129958960328317,0.005450581395348837
1.0,0.1,1.0,0.003419972640218878,0.003633720930232558
0.0,0.2,1.0,0.07968536251709986,0.08266715116279069
0.1,0.2,1.0,0.08139534883720931,0.08412063953488372
0.2,0.2,1.0,0.07455540355677155,0.07776162790697674
0.30000000000000004,0.2,1.0,0.05540355677154583,0.05777616279069767
0.4,0.2,1.0,0.04138166894664843,0.04324127906976744
0.5,0.2,1.0,0.027359781121751026,0.029069767441860465
0.6000000000000001,0.2,1.0,0.023255813953488372,0.024709302325581394
0.7000000000000001,0.2,1.0,0.016757865937072503,0.017805232558139535
0.8,0.2,1.0,0.011285909712722298,0.011991279069767442
0.9,0.2,1.0,0.007523939808481532,0.007994186046511628
1.0,0.2,1.0,0.004103967168262654,0.00436046511627907
0.0,0.30000000000000004,1.0,0.0677154582763338,0.07013081395348837
0.1,0.30000000000000004,1.0,0.06703146374829001,0.06922238372093023
0.2,0.30000000000000004,1.0,0.06874145006839945,0.07103924418604651
0.30000000000000004,0.30000000000000004,1.0,0.05950752393980848,0.061954941860465115
0.4,0.30000000000000004,1.0,0.058823529411764705,0.06140988372093023
0.5,0.30000000000000004,1.0,0.048221614227086186,0.050690406976744186
0.6000000000000001,0.30000000000000004,1.0,0.03898768809849521,0.04124273255813953
0.7000000000000001,0.30000000000000004,1.0,0.03283173734610123,0.03488372093023256
0.8,0.30000000000000004,1.0,0.021203830369357045,0.02252906976744186
0.9,0.30000000000000004,1.0,0.012311901504787962,0.01308139534883721
1.0,0.30000000000000004,1.0,0.006839945280437756,0.007267441860465116
0.0,0.4,1.0,0.0646374829001368,0.06722383720930232
0.1,0.4,1.0,0.06326949384404924,0.06577034883720931
0.2,0.4,1.0,0.07250341997264022,0.0755813953488372
0.30000000000000004,0.4,1.0,0.07250341997264022,0.07539970930232558
0.4,0.4,1.0,0.06805745554035568,0.07103924418604651
0.5,0.4,1.0,0.0619015047879617,0.06449854651162791
0.6000000000000001,0.4,1.0,0.05198358413132695,0.05450581395348837
0.7000000000000001,0.4,1.0,0.04445964432284542,0.046875
0.8,0.4,1.0,0.03796169630642955,0.04015261627906977
0.9,0.4,1.0,0.030437756497948016,0.03234011627906977
1.0,0.4,1.0,0.02017783857729138,0.021438953488372093
0.0,0.5,1.0,0.0646374829001368,0.06698158914728682
0.1,0.5,1.0,0.07489740082079344,0.0778827519379845
0.2,0.5,1.0,0.0728454172366621,0.07570251937984496
0.30000000000000004,0.5,1.0,0.073187414500684,0.07606589147286821
0.4,0.5,1.0,0.06976744186046512,0.07261385658914729
0.5,0.5,1.0,0.06668946648426813,0.06934350775193798
0.6000000000000001,0.5,1.0,0.0619015047879617,0.0642562984496124
0.7000000000000001,0.5,1.0,0.0560875512995896,0.05862403100775194
0.8,0.5,1.0,0.046511627906976744,0.048812984496124034
0.9,0.5,1.0,0.036593707250342,0.038699127906976744
1.0,0.5,1.0,0.027701778385772913,0.029251453488372093
0.0,0.6000000000000001,1.0,0.07216142270861833,0.07497577519379844
0.1,0.6000000000000001,1.0,0.07079343365253078,0.07352228682170543
0.2,0.6000000000000001,1.0,0.06976744186046512,0.07243217054263566
0.30000000000000004,0.6000000000000001,1.0,0.0677154582763338,0.07025193798449612
0.4,0.6000000000000001,1.0,0.0677154582763338,0.07025193798449612
0.5,0.6000000000000001,1.0,0.06634746922024624,0.06898013565891473
0.6000000000000001,0.6000000000000001,1.0,0.06395348837209303,0.06643653100775193
0.7000000000000001,0.6000000000000001,1.0,0.056429548563611494,0.05862403100775194
0.8,0.6000000000000001,1.0,0.05027359781121751,0.05262839147286822
0.9,0.6000000000000001,1.0,0.04001367989056088,0.04190891472868217
1.0,0.6000000000000001,1.0,0.03556771545827633,0.03718507751937984
0.0,0.7000000000000001,1.0,0.07147742818057455,0.07424903100775193
0.1,0.7000000000000001,1.0,0.06874145006839945,0.0713420542635659
0.2,0.7000000000000001,1.0,0.0673734610123119,0.06988856589147287
0.30000000000000004,0.7000000000000001,1.0,0.06668946648426813,0.06916182170542635
0.4,0.7000000000000001,1.0,0.06532147742818058,0.06770833333333333
0.5,0.7000000000000001,1.0,0.06361149110807114,0.06607315891472869
0.6000000000000001,0.7000000000000001,1.0,0.058823529411764705,0.061167635658914726
0.7000000000000001,0.7000000000000001,1.0,0.05369357045143639,0.05608042635658915
0.8,0.7000000000000001,1.0,0.048221614227086186,0.05044815891472868
0.9,0.7000000000000001,1.0,0.04343365253077976,0.0453609496124031
1.0,0.7000000000000001,1.0,0.03898768809849521,0.040818798449612406
0.0,0.8,1.0,0.0646374829001368,0.06716327519379844
0.1,0.8,1.0,0.06326949384404924,0.06570978682170543
0.2,0.8,1.0,0.06155950752393981,0.06389292635658915
0.30000000000000004,0.8,1.0,0.060191518467852256,0.062439437984496124
0.4,0.8,1.0,0.0560875512995896,0.05862403100775194
0.5,0.8,1.0,0.054035567715458276,0.056807170542635656
0.6000000000000001,0.8,1.0,0.0506155950752394,0.0531734496124031
0.7000000000000001,0.8,1.0,0.04890560875512996,0.05135658914728682
0.8,0.8,1.0,0.04445964432284542,0.04645106589147287
0.9,0.8,1.0,0.040697674418604654,0.04245397286821705
1.0,0.8,1.0,0.036935704514363885,0.03845687984496124
0.0,0.9,1.0,0.04582763337893297,0.04808624031007752
0.1,0.9,1.0,0.043091655266757865,0.04517926356589147
0.2,0.9,1.0,0.042065663474692205,0.04408914728682171
0.30000000000000004,0.9,1.0,0.04138166894664843,0.043362403100775194
0.4,0.9,1.0,0.04035567715458276,0.042272286821705425
0.5,0.9,1.0,0.03864569083447333,0.04045542635658915
0.6000000000000001,0.9,1.0,0.038303693570451436,0.04009205426356589
0.7000000000000001,0.9,1.0,0.035909712722298225,0.0375484496124031
0.8,0.9,1.0,0.03625170998632011,0.037911821705426355
0.9,0.9,1.0,0.03556771545827633,0.03718507751937984
1.0,0.9,1.0,0.033515731874145006,0.03500484496124031
0.0,1.0,1.0,0.012995896032831737,0.013565891472868217
0.1,1.0,1.0,0.012995896032831737,0.013565891472868217
0.2,1.0,1.0,0.012995896032831737,0.013565891472868217
0.30000000000000004,1.0,1.0,0.012995896032831737,0.013565891472868217
0.4,1.0,1.0,0.012995896032831737,0.013565891472868217
0.5,1.0,1.0,0.012995896032831737,0.013565891472868217
0.6000000000000001,1.0,1.0,0.012995896032831737,0.013565891472868217
0.7000000000000001,1.0,1.0,0.012995896032831737,0.013565891472868217
0.8,1.0,1.0,0.012995896032831737,0.013565891472868217
0.9,1.0,1.0,0.012995896032831737,0.013565891472868217
1.0,1.0,1.0,0.012995896032831737,0.013565891472868217
